temperature,humidity,pressure,wind_speed,magnitude,place,time,Invalid MAP_KEY.
25.39,20.0,1008.0,2.46,0.8,"29 km SSE of Minto, Alaska",1773432323863.0,
,,,,0.27,"8 km W of Cobb, CA",1773432260610.0,
,,,,0.93,"7 km ESE of Winchester, CA",1773432025280.0,
,,,,5.1,"115 km E of Yamada, Japan",1773431721333.0,
,,,,2.6,"53 km ENE of Pedro Bay, Alaska",1773430933193.0,
,,,,2.0,"20 km WNW of Fishhook, Alaska",1773430786240.0,
,,,,2.72,"8 km ENE of Calumet, Oklahoma",1773430744800.0,
,,,,2.7,"49 km NW of Toyah, Texas",1773430476106.0,
,,,,2.42,"5 km WSW of Portola Valley, CA",1773429939800.0,
,,,,0.55,"20 km NNE of Indian Springs, Nevada",1773429909394.0,
,,,,2.2,"63 km WNW of Ninilchik, Alaska",1773429894879.0,
,,,,0.8,"85 km NW of Karluk, Alaska",1773429590409.0,
,,,,1.65,"14 km NNW of Pinnacles, CA",1773429455860.0,
,,,,1.8,"60 km NE of Van Horn, Texas",1773428342188.0,
,,,,1.75,"7 km S of Mojave, CA",1773428230410.0,
,,,,1.0,"24 km SW of Ackerly, Texas",1773427813305.0,
,,,,1.53,"16 km W of Searles Valley, CA",1773427617830.0,
,,,,1.0,"7 km E of Eielson Air Force Base, Alaska",1773427605570.0,
,,,,1.6,"64 km ENE of Pedro Bay, Alaska",1773425821463.0,
,,,,2.22,"8 km ENE of Calumet, Oklahoma",1773425810328.0,
,,,,0.75,"2 km NW of The Geysers, CA",1773425147180.0,
,,,,1.3,"12 km WSW of Stanton, Texas",1773424154264.0,
,,,,0.73,"52 km ESE of Beatty, Nevada",1773423937600.0,
,,,,1.3,"36 km WSW of Tatitlek, Alaska",1773423827719.0,
,,,,1.5,"18 km NW of Toyah, Texas",1773423590983.0,
,,,,1.06,"8 km SW of Beaumont, CA",1773423497840.0,
,,,,0.8,"7 km WSW of Anza, CA",1773421955080.0,
,,,,1.4,"47 km WNW of Nanwalek, Alaska",1773419236222.0,
,,,,1.54,"3 km WSW of Glen Ellen, CA",1773419037930.0,
,,,,4.7,south of the Kermadec Islands,1773418543953.0,
,,,,4.2,"5 km NW of Farkhār, Afghanistan",1773418220654.0,
,,,,0.7,"13 km NW of The Geysers, CA",1773417485900.0,
,,,,1.6,"62 km W of Tyonek, Alaska",1773416972731.0,
,,,,1.7,"57 km S of Whites City, New Mexico",1773415976052.0,
,,,,1.2,"49 km SE of King Salmon, Alaska",1773415973623.0,
,,,,0.74,"4 km W of Cobb, CA",1773415948520.0,
,,,,1.98,"23 km NNE of San Ardo, CA",1773415685640.0,
,,,,2.84,"21 km NNE of San Ardo, CA",1773415628730.0,
,,,,1.5,"50 km W of Ferry, Alaska",1773415400785.0,
,,,,1.6,"37 km NNE of Chenega, Alaska",1773414317870.0,
,,,,2.01,"6 km SW of Clinton, Washington",1773413075910.0,
,,,,1.06,"15 km W of Searles Valley, CA",1773412955490.0,
,,,,0.77,"6 km NW of The Geysers, CA",1773412504740.0,
,,,,1.2,"25 km WSW of Ackerly, Texas",1773412248529.0,
,,,,0.49,"7 km S of Idyllwild, CA",1773411364270.0,
,,,,0.9,"107 km SSE of McCarthy, Alaska",1773410663138.0,
,,,,2.21,"3 km SE of Pacifica, CA",1773409711770.0,
,,,,1.77,"9 km WNW of The Geysers, CA",1773409378200.0,
,,,,1.4,"7 km E of Falls City, Texas",1773409306617.0,
,,,,6.3,"85 km W of Vallenar, Chile",1773409158599.0,
,,,,1.6,"34 km ESE of Manley Hot Springs, Alaska",1773408231999.0,
,,,,0.9,"7 km NW of Salcha, Alaska",1773407617639.0,
,,,,0.63,"5 km ENE of Cabazon, CA",1773406318020.0,
,,,,1.11,"14 km NE of Milford, Utah",1773405804010.0,
,,,,2.82,"5 km SE of San Ramon, CA",1773404739910.0,
,,,,1.08,"6 km NW of The Geysers, CA",1773404445030.0,
,,,,1.38,"14 km NE of Milford, Utah",1773404405710.0,
,,,,1.7,"7 km SSW of Hope, Alaska",1773403657300.0,
,,,,0.75,"2 km NE of The Geysers, CA",1773403315750.0,
,,,,0.73,"6 km NW of The Geysers, CA",1773403113280.0,
,,,,2.0,"18 km E of Boys Ranch, Texas",1773402503373.0,
,,,,1.26,"14 km NE of Milford, Utah",1773402053620.0,
,,,,1.02,"21 km W of Westmorland, CA",1773401616960.0,
,,,,1.51,"6 km NE of Brea, CA",1773401401390.0,
,,,,2.2,"7 km S of Madison, Ohio",1773401067858.0,
