rainfall,humidity,temperature,pressure,wind_speed,magnitude,time,risk,disaster_type
0.0,47,27.07,1006,3.09,0.21,19,0,0
0.0,40,32.0,1009,3.09,0.52,7,0,0
0.0,77,28.39,1010,3.58,1.41,10,0,0
0.0,70,29.96,1006,5.66,0.36,19,0,0
0.0,35,29.74,1010,5.36,0.11,23,0,0
0.0,37,32.23,1008,2.57,0.93,3,0,0
0.0,69,24.0,1010,3.6,0.07,16,0,0
0.0,35,29.68,1008,2.57,1.19,4,0,0
0.0,74,27.99,1007,3.09,0.29,5,0,0
0.0,80,26.85,1011,3.09,1.25,7,0,0
1.38,88,11.46,1015,4.12,1.28,19,0,0
0.0,86,27.64,1010,2.06,1.37,17,0,0
0.0,69,24.21,1012,1.54,0.04,11,0,0
0.0,71,14.36,1015,1.79,0.61,2,0,0
0.0,62,10.94,1018,2.06,1.1,0,0,0
0.0,88,19.95,1014,2.57,0.97,20,0,0
0.0,85,25.98,1009,4.98,0.34,19,0,0
0.0,61,27.07,1010,5.66,0.88,13,0,0
0.0,41,27.57,1008,6.11,0.01,0,0,0
0.0,25,23.33,1013,5.66,1.08,12,0,0
