rainfall,humidity,temperature,pressure,wind_speed,magnitude,time,risk,disaster_type,source
1.0,93.0,25.4,1002.8,15.8,0.0,0,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.3,95.0,25.3,1003.2,15.2,0.0,1,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.3,94.0,25.4,1003.5,14.7,0.0,2,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.1,93.0,25.5,1003.9,17.3,0.0,3,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.0,93.0,25.4,1004.0,17.9,0.0,4,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.0,93.0,25.6,1004.0,18.7,0.0,5,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
0.7,93.0,25.7,1003.9,20.6,0.0,6,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
0.8,92.0,26.1,1003.6,17.7,0.0,7,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.2,90.0,26.3,1003.5,17.7,0.0,8,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.1,92.0,26.0,1002.8,17.7,0.0,9,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.3,94.0,25.8,1002.4,17.6,0.0,10,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.3,94.0,25.8,1002.0,17.0,0.0,11,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.2,94.0,25.8,1001.7,19.1,0.0,12,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.3,93.0,25.8,1001.5,23.0,0.0,13,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.3,91.0,26.1,1001.8,21.0,0.0,14,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.2,92.0,25.9,1002.5,21.7,0.0,15,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.4,91.0,26.0,1002.8,21.2,0.0,16,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.7,91.0,25.9,1003.2,20.5,0.0,17,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.3,92.0,25.8,1003.1,20.2,0.0,18,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.0,93.0,25.8,1002.5,20.5,0.0,19,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
0.8,92.0,25.9,1002.3,18.0,0.0,20,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
0.8,91.0,25.9,1001.6,18.8,0.0,21,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.2,93.0,25.8,1001.3,19.3,0.0,22,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.6,93.0,25.8,1001.1,17.1,0.0,23,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.8,93.0,25.7,1001.3,17.4,0.0,0,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
2.4,94.0,25.5,1001.7,18.7,0.0,1,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
2.4,94.0,25.6,1001.8,17.8,0.0,2,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
2.4,93.0,25.9,1002.2,16.6,0.0,3,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
2.3,93.0,26.0,1002.8,16.6,0.0,4,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
2.5,90.0,26.3,1002.9,18.4,0.0,5,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
3.2,92.0,26.2,1002.6,19.7,0.0,6,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
2.8,92.0,26.1,1002.4,20.8,0.0,7,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
2.8,92.0,25.9,1001.6,23.0,0.0,8,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
4.4,91.0,26.1,1001.2,26.4,0.0,9,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
5.0,93.0,25.8,1000.9,27.8,0.0,10,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
5.0,92.0,25.9,1000.2,27.8,0.0,11,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
4.1,93.0,25.8,1000.6,26.8,0.0,12,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
4.5,93.0,25.9,1000.9,27.2,0.0,13,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
4.3,93.0,25.9,1000.9,25.9,0.0,14,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
3.9,93.0,26.0,1001.6,23.9,0.0,15,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
4.1,93.0,26.0,1002.0,22.4,0.0,16,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
3.5,93.0,26.1,1002.3,22.7,0.0,17,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
2.8,94.0,26.1,1002.0,23.8,0.0,18,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.0,92.0,26.3,1001.4,22.1,0.0,19,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.5,93.0,26.1,1000.9,23.1,0.0,20,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.5,92.0,26.1,999.8,24.1,0.0,21,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.5,91.0,26.2,1000.1,23.4,0.0,22,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
2.1,92.0,26.2,999.7,21.6,0.0,23,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
3.8,92.0,26.1,1000.1,20.6,0.0,0,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
3.7,93.0,26.0,1000.4,19.0,0.0,1,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.9,92.0,26.0,1000.7,18.9,0.0,2,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
2.2,91.0,26.3,1001.4,16.6,0.0,3,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
2.8,93.0,26.2,1001.6,15.9,0.0,4,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
2.6,93.0,26.3,1002.0,17.0,0.0,5,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.5,91.0,26.4,1001.6,20.2,0.0,6,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
2.7,91.0,26.5,1001.3,22.0,0.0,7,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
2.9,92.0,26.2,1000.8,24.2,0.0,8,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
3.3,93.0,26.1,1000.8,24.8,0.0,9,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
3.4,93.0,25.9,1000.8,22.0,0.0,10,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
2.7,93.0,25.8,1000.7,22.0,0.0,11,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
2.7,93.0,25.6,1001.1,23.5,0.0,12,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
2.9,94.0,25.5,1001.5,22.2,0.0,13,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
2.8,92.0,25.7,1001.7,21.1,0.0,14,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
2.4,91.0,25.8,1002.3,20.3,0.0,15,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
2.1,91.0,25.7,1003.0,19.3,0.0,16,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
2.4,91.0,25.6,1003.3,19.6,0.0,17,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
3.0,91.0,25.5,1003.4,20.2,0.0,18,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
2.1,93.0,25.3,1002.7,21.3,0.0,19,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
